tension,latitud_y_longitud,poder de voltaje
13.2,"-64.9685365636365,-24.5035169921415",MEDIO
13.2,"-64.9670122945986,-24.5024527673639",MEDIO
13.2,"-64.9664083957287,-24.5020142330866",MEDIO
13.2,"-64.9664085821943,-24.5019916711034",MEDIO
13.2,"-64.9651461103309,-24.5010967350445",MEDIO
13.2,"-64.963293547267,-24.4996149078826",MEDIO
13.2,"-65.9776930930711,-22.4996496705157",MEDIO
13.2,"-65.9627347311876,-22.5392603511761",MEDIO
13.2,"-65.9774402707538,-22.5001545976608",MEDIO
13.2,"-65.9627301707774,-22.5392825306309",MEDIO
13.2,"-65.9774438694575,-22.5001322661177",MEDIO
13.2,"-65.4997614485377,-23.744302518269",MEDIO
13.2,"-65.5027494740357,-23.7421170022032",MEDIO
13.2,"-65.5011400539202,-23.7433389678669",MEDIO
13.2,"-65.4995748208266,-23.7443984172169",MEDIO
13.2,"-65.4997614830194,-23.7442934896397",MEDIO
13.2,"-65.499761517501,-23.7442844610102",MEDIO
13.2,"-64.9000522905778,-24.2590786248537",MEDIO
13.2,"-64.8875677042127,-24.2530372976467",MEDIO
13.2,"-64.887705278508,-24.2530941936934",MEDIO
13.2,"-64.9521233442813,-23.6220978917404",MEDIO
13.2,"-64.5687294669369,-23.6833845484882",MEDIO
13.2,"-64.568672162304,-23.6834301917169",MEDIO
13.2,"-64.8588980465215,-24.2172478775857",MEDIO
13.2,"-64.8588981269402,-24.2172388509658",MEDIO
13.2,"-64.80131029874,-23.9455716955133",MEDIO
13.2,"-65.3124705161797,-24.1666982664199",MEDIO
13.2,"-64.8941388154824,-24.2578571653032",MEDIO
13.2,"-64.8941388935654,-24.2578481386221",MEDIO
13.2,"-64.8924072006203,-24.2577445796472",MEDIO
13.2,"-64.8924072788252,-24.2577355529713",MEDIO
13.2,"-64.89240735703,-24.2577265262953",MEDIO
13.2,"-64.8941389716484,-24.2578391119409",MEDIO
13.2,"-64.6415742089077,-24.2710866351222",MEDIO
13.2,"-64.64157430488,-24.2710776093165",MEDIO
13.2,"-64.6415744008522,-24.2710685835109",MEDIO
33.0,"-64.8709360760432,-23.9505677799145",ALTO
33.0,"-64.8709361546267,-23.9505587529422",ALTO
13.2,"-64.8709362332101,-23.95054972597",MEDIO
13.2,"-65.2399160603622,-24.2393332703129",MEDIO
13.2,"-65.2399545929318,-24.2447721584119",MEDIO
13.2,"-65.0089605702979,-24.4745750165976",MEDIO
13.2,"-65.0081233463368,-24.4752645456336",MEDIO
13.2,"-65.0089596332552,-24.4745417931823",MEDIO
13.2,"-65.0085614688696,-24.4749333556247",MEDIO
13.2,"-65.2550243005147,-24.2588922859759",MEDIO
13.2,"-65.2568993601071,-24.2587044968572",MEDIO
13.2,"-65.2561794296814,-24.2587720907335",MEDIO
13.2,"-65.2523812672776,-24.2601575821915",MEDIO
13.2,"-65.2536461608592,-24.2600547531964",MEDIO
