tension,latitud_y_longitud,poder de voltaje
13.2,"-65.1278406922317,-24.3655961069582",MEDIO
13.2,"-65.1280390219344,-24.3653568152911",MEDIO
13.2,"-65.4723066332592,-23.7512243022243",MEDIO
13.2,"-65.4723310996478,-23.7512137369992",MEDIO
13.2,"-64.6767996361747,-24.1850832208216",MEDIO
13.2,"-64.6753077204704,-24.1862423544954",MEDIO
13.2,"-64.678789352115,-24.1844575238598",MEDIO
13.2,"-64.6793716790493,-24.1795826924121",MEDIO
13.2,"-64.6773760619152,-24.1914485634353",MEDIO
13.2,"-64.6793119226649,-24.1798974338261",MEDIO
13.2,"-64.6753049457376,-24.1862556711491",MEDIO
13.2,"-64.6770933312034,-24.1849875056171",MEDIO
13.2,"-64.7115244409491,-24.2733498970751",MEDIO
13.2,"-64.6767135297557,-24.1772751954562",MEDIO
33.0,"-64.8188520303783,-24.2717844099333",ALTO
33.0,"-64.712548914292,-24.2740942639276",ALTO
33.0,"-64.7131517074177,-24.2736886471465",ALTO
13.2,"-64.7173475359999,-24.2730884139093",MEDIO
13.2,"-64.3101569973714,-23.9130311748429",MEDIO
13.2,"-64.7125686069173,-24.2740944307126",MEDIO
13.2,"-64.820911438946,-24.2370934088379",MEDIO
13.2,"-64.7316597371825,-24.2715739385508",MEDIO
13.2,"-64.7205809708736,-24.2732368268049",MEDIO
13.2,"-64.740491200221,-24.2707582138537",MEDIO
13.2,"-64.7125682430363,-24.2741305349588",MEDIO
13.2,"-64.7125680610955,-24.2741485870818",MEDIO
13.2,"-64.7125654253627,-24.274410101865",MEDIO
13.2,"-64.7125651045323,-24.2744419340749",MEDIO
13.2,"-64.8591785409496,-24.238075655798",MEDIO
13.2,"-64.8591489684828,-24.2380799477111",MEDIO
13.2,"-64.3097995904979,-23.9125700618717",MEDIO
13.2,"-64.7125655593913,-24.274396803769",MEDIO
13.2,"-64.7125677881839,-24.2741756652663",MEDIO
13.2,"-64.7125938004838,-24.2736987003314",MEDIO
13.2,"-64.7150285669345,-24.2733073096939",MEDIO
13.2,"-64.7404910995927,-24.270768421202",MEDIO
13.2,"-64.857081371771,-24.2409282772293",MEDIO
13.2,"-64.8558731865854,-24.241171959371",MEDIO
13.2,"-64.8598908734429,-24.2403545848874",MEDIO
13.2,"-64.8587066902408,-24.240606469655",MEDIO
13.2,"-64.8595778784197,-24.2390900581534",MEDIO
13.2,"-64.8593019609336,-24.2378847191251",MEDIO
13.2,"-64.8625502161062,-24.236869779518",MEDIO
13.2,"-64.8611529553852,-24.2370311669001",MEDIO
13.2,"-64.8611573644616,-24.2370633997544",MEDIO
13.2,"-64.8596930079014,-24.2404017246703",MEDIO
13.2,"-64.8597245497462,-24.2403974474251",MEDIO
13.2,"-64.8546869853022,-24.241433851608",MEDIO
13.2,"-64.8591405829819,-24.2373454875021",MEDIO
13.2,"-64.8591712258871,-24.2374563261622",MEDIO
13.2,"-64.8591716088676,-24.2374575811179",MEDIO
13.2,"-64.6830423585501,-24.5400853326211",MEDIO
13.2,"-65.2339945955905,-24.2289032544096",MEDIO
13.2,"-65.2366421133672,-24.2469198230131",MEDIO
13.2,"-65.2375015319689,-24.2474620326467",MEDIO
13.2,"-65.2376422888677,-24.2473667601028",MEDIO
13.2,"-65.2691943663675,-24.2182380246862",MEDIO
13.2,"-65.2652509638505,-24.2130585818242",MEDIO
33.0,"-65.2376359234538,-24.2475463676105",ALTO
33.0,"-65.2371126527437,-24.2367984817808",ALTO
33.0,"-65.2456761161622,-24.262409061903",ALTO
13.2,"-65.235384148201,-24.2276975773886",MEDIO
13.2,"-65.2471055563395,-24.262014434897",MEDIO
13.2,"-65.2461686570001,-24.2622728319184",MEDIO
13.2,"-65.2478441573847,-24.2642713044966",MEDIO
13.2,"-65.2478442105108,-24.2642622769152",MEDIO
13.2,"-65.134219312971,-23.122497688833",MEDIO
13.2,"-66.4504478639018,-22.7113643670699",MEDIO
13.2,"-66.456244951722,-22.697009655461",MEDIO
13.2,"-66.4501252971347,-22.7086481957283",MEDIO
13.2,"-65.4434212142438,-24.1864848346765",MEDIO
13.2,"-65.4434214711268,-24.1865059272256",MEDIO
13.2,"-65.441205840479,-24.1868989119037",MEDIO
13.2,"-65.2330202844841,-24.257981653006",MEDIO
13.2,"-65.2342364474552,-24.2558560905148",MEDIO
13.2,"-65.2340823753234,-24.2554388699228",MEDIO
13.2,"-65.2340824293992,-24.2554298423598",MEDIO
13.2,"-65.2350346833809,-24.2558316978415",MEDIO
13.2,"-65.2343904665903,-24.2559788860386",MEDIO
13.2,"-65.2323565496568,-24.2559747514819",MEDIO
13.2,"-65.2350347506276,-24.255813642546",MEDIO
13.2,"-65.2341821264395,-24.2615539188298",MEDIO
13.2,"-65.2335514949633,-24.2596634037271",MEDIO
13.2,"-65.2335507185158,-24.2596816728378",MEDIO
13.2,"-65.5945497490673,-22.1079284226643",MEDIO
13.2,"-65.4694935491429,-23.7474554002767",MEDIO
13.2,"-65.4674500905755,-23.8438243086235",MEDIO
13.2,"-65.4663961438932,-23.8595175781071",MEDIO
13.2,"-65.4654657747098,-23.8533858819659",MEDIO
13.2,"-65.4657245244862,-23.8531069143503",MEDIO
13.2,"-65.4654656266538,-23.8532299175855",MEDIO
13.2,"-65.4649479018926,-23.8467129199295",MEDIO
13.2,"-65.4638755511631,-23.9250643155255",MEDIO
13.2,"-65.4552017213899,-23.9456416765657",MEDIO
13.2,"-65.4515783595191,-23.9529598877268",MEDIO
13.2,"-65.4519695902892,-23.9823079005045",MEDIO
13.2,"-65.4516278313383,-23.9828631866217",MEDIO
33.0,"-65.4469312191464,-23.9989145031951",ALTO
33.0,"-65.4110299387782,-23.6190446544435",ALTO
13.2,"-65.4100586445409,-23.6174087587935",MEDIO
13.2,"-65.4068382309607,-23.6066463508071",MEDIO
13.2,"-65.4724555469402,-24.1251295216113",MEDIO
13.2,"-65.4811430315385,-24.1299575959507",MEDIO
13.2,"-65.4880163176923,-24.1277795712335",MEDIO
13.2,"-65.4880165240367,-24.1277524437406",MEDIO
13.2,"-65.3969818154718,-24.1358578664551",MEDIO
13.2,"-65.3949706037817,-24.1381776024372",MEDIO
13.2,"-65.3952239310392,-24.1377465809043",MEDIO
13.2,"-66.1798274350757,-22.8557268534778",MEDIO
13.2,"-66.3066403222168,-22.9291285302027",MEDIO
13.2,"-66.3500568070605,-22.9649605149459",MEDIO
13.2,"-66.3514752652859,-22.9740775307077",MEDIO
13.2,"-66.3572165952261,-22.98108581812",MEDIO
33.0,"-66.3584889381107,-22.9789152482983",ALTO
13.2,"-66.3596826800283,-22.9768700252175",MEDIO
33.0,"-66.3604207443384,-23.0037799113059",ALTO
13.2,"-66.359532893039,-23.0023877261739",MEDIO
13.2,"-66.3608748905532,-23.0044854630029",MEDIO
13.2,"-66.3669018378107,-23.0016155327856",MEDIO
13.2,"-66.3669018134036,-23.0016065031396",MEDIO
33.0,"-66.3547700536654,-23.0033380499214",ALTO
13.2,"-66.3547700300633,-23.0033290202653",MEDIO
13.2,"-66.359039221604,-22.9746142959386",MEDIO
13.2,"-66.3590391977512,-22.974605266254",MEDIO
13.2,"-66.3590391977511,-22.974605266254",MEDIO
13.2,"-66.3503905391388,-22.9762006715897",MEDIO
33.0,"-66.3503905158587,-22.9761916418985",ALTO
33.0,"-66.3526132923902,-22.9754183686481",ALTO
33.0,"-66.3447566207811,-22.9808071257876",ALTO
33.0,"-66.3447565978702,-22.9807980960962",ALTO
13.2,"-66.3512238506877,-22.968917194094",MEDIO
13.2,"-66.3512238273605,-22.9689081643952",MEDIO
33.0,"-66.3519540804416,-22.9615613127197",ALTO
13.2,"-66.3519540570743,-22.9615522830134",MEDIO
33.0,"-66.3519540570743,-22.9615522830133",ALTO
33.0,"-66.3498077295374,-22.9640918477072",ALTO
13.2,"-66.3498077063097,-22.9640828180016",MEDIO
13.2,"-66.3361024240313,-22.9434740369511",MEDIO
13.2,"-66.3361024017359,-22.9434650072091",MEDIO
13.2,"-66.3338944105155,-22.9409243383056",MEDIO
13.2,"-66.3361024017359,-22.943465007209",MEDIO
13.2,"-66.3266470144559,-22.9298027732319",MEDIO
13.2,"-66.3266469928021,-22.9297937434656",MEDIO
13.2,"-66.3079732609382,-22.9431374040153",MEDIO
13.2,"-66.3079732405092,-22.9431283742478",MEDIO
13.2,"-66.3036221933961,-22.9262575471128",MEDIO
13.2,"-66.3036221732721,-22.9262485173224",MEDIO
13.2,"-66.2645027116444,-22.9186378495941",MEDIO
13.2,"-66.2645026941198,-22.9186288197644",MEDIO
13.2,"-66.2632312735447,-22.9192873217585",MEDIO
13.2,"-66.2540793863886,-22.9151851031551",MEDIO
13.2,"-66.2540793695573,-22.915176073314",MEDIO
13.2,"-66.2512741062134,-22.9132133601073",MEDIO
13.2,"-66.2540793695573,-22.9151760733139",MEDIO
13.2,"-66.2027352450998,-22.8675260799983",MEDIO
13.2,"-66.2027352317009,-22.8675170500707",MEDIO
13.2,"-66.2023525700852,-22.8667847744017",MEDIO
13.2,"-66.2027352317009,-22.8675170500706",MEDIO
13.2,"-66.1971579491383,-22.8645127967395",MEDIO
13.2,"-66.1971579361099,-22.8645037668053",MEDIO
13.2,"-66.2119336522175,-22.8767248532149",MEDIO
13.2,"-66.2129956690356,-22.8774055738237",MEDIO
13.2,"-66.2467221379682,-22.9100370233214",MEDIO
13.2,"-66.2444817304679,-22.908410629727",MEDIO
13.2,"-66.2865882767705,-22.9183577407615",MEDIO
13.2,"-66.2869840153949,-22.9184305843573",MEDIO
13.2,"-66.3074957581718,-22.9293091966141",MEDIO
13.2,"-66.3075077869818,-22.9296445707339",MEDIO
13.2,"-65.5742811940326,-22.1243234335773",MEDIO
13.2,"-65.5760925306397,-22.1494587723529",MEDIO
13.2,"-65.5760925576811,-22.1494497418122",MEDIO
13.2,"-65.1840453438067,-24.2673537552135",MEDIO
13.2,"-65.1800805116768,-24.2710534360357",MEDIO
13.2,"-65.1770021807695,-24.2740030566402",MEDIO
13.2,"-65.1800809224941,-24.2710310202868",MEDIO
13.2,"-65.1770024272656,-24.2739832007976",MEDIO
13.2,"-65.2791830319325,-24.1997474562463",MEDIO
13.2,"-65.2559907627609,-24.2498373392223",MEDIO
13.2,"-65.2587802744351,-24.2458753885761",MEDIO
13.2,"-65.2587573612427,-24.2465689669461",MEDIO
13.2,"-65.2587881012973,-24.2457939760753",MEDIO
33.0,"-65.2587837021179,-24.2458417521366",ALTO
33.0,"-64.6184798268565,-23.8816408802015",ALTO
33.0,"-64.6184799226967,-23.881631854024",ALTO
13.2,"-64.6092708314091,-23.8696964776224",MEDIO
13.2,"-64.6104271137457,-23.871362106785",MEDIO
13.2,"-64.6291780860135,-23.8945150846585",MEDIO
13.2,"-64.6291790289959,-23.8944923611222",MEDIO
13.2,"-66.1814767951491,-22.856041998067",MEDIO
13.2,"-66.1812587385736,-22.8590233246845",MEDIO
13.2,"-66.181258726599,-22.8590142947358",MEDIO
13.2,"-64.3070401122713,-23.984820651057",MEDIO
13.2,"-64.3068428180496,-23.9844238327573",MEDIO
13.2,"-64.3040825422264,-23.9780017621077",MEDIO
13.2,"-64.3019505400884,-23.9720405643453",MEDIO
13.2,"-64.2996434933197,-23.971960003412",MEDIO
13.2,"-64.3045535839375,-23.9796753549707",MEDIO
13.2,"-64.3046179289715,-23.9796716912642",MEDIO
33.0,"-64.3048194261241,-23.9780009876533",ALTO
33.0,"-64.3041670648492,-23.9780036154004",ALTO
33.0,"-64.3028979712131,-23.9797610159526",ALTO
33.0,"-64.3068420043333,-23.9844603362076",ALTO
33.0,"-64.306088533277,-23.9780352752788",ALTO
33.0,"-64.3021745771012,-23.9725413322956",ALTO
33.0,"-64.3071882502582,-23.9851711362596",ALTO
33.0,"-64.2999594303054,-23.9719779217828",ALTO
33.0,"-64.2996736514991,-23.971961107562",ALTO
33.0,"-64.3071724345826,-23.9851480193056",ALTO
33.0,"-64.3001085550075,-23.9792643691963",ALTO
33.0,"-64.3037547576684,-23.9762709684965",ALTO
33.0,"-64.303744935349,-23.9762709271298",ALTO
33.0,"-64.3052045459377,-23.9809613912608",ALTO
33.0,"-64.3052046640555,-23.9809523665312",ALTO
33.0,"-64.3041732971812,-23.9789597985112",ALTO
7.6,"-64.3041734153597,-23.9789507737841",MEDIO
7.6,"-64.3019312045637,-23.9720029722361",MEDIO
7.6,"-64.3038692084085,-23.9770261459682",MEDIO
7.6,"-64.3026335262586,-23.9734597852892",MEDIO
7.6,"-64.3108076538337,-23.9901706469925",MEDIO
13.2,"-64.3108056383974,-23.9901908254021",MEDIO
13.2,"-64.2975286676911,-23.9808698012624",MEDIO
13.2,"-64.2985910271827,-23.9792377671785",MEDIO
13.2,"-64.2985933567301,-23.9792051018551",MEDIO
13.2,"-64.3001081339219,-23.9792364298988",MEDIO
13.2,"-64.3075436323399,-23.9856506736077",MEDIO
13.2,"-64.3071981353221,-23.9851850100765",MEDIO
13.2,"-64.2993260337791,-23.967526230534",MEDIO
13.2,"-64.2993259340357,-23.9675048240033",MEDIO
13.2,"-65.324931919247,-24.1634083324092",MEDIO
13.2,"-65.3256792788849,-24.1673497218195",MEDIO
13.2,"-65.2104806344705,-24.1681091532435",MEDIO
13.2,"-65.4074171400796,-24.0777646560308",MEDIO
13.2,"-65.2724762693265,-24.248643823187",MEDIO
13.2,"-65.2724214190294,-24.2486491520266",MEDIO
13.2,"-65.2716633220276,-24.2454449629697",MEDIO
13.2,"-65.2722689261714,-24.2472567623269",MEDIO
13.2,"-65.2723060233059,-24.2472410715328",MEDIO
13.2,"-65.2723457086722,-24.2480544703987",MEDIO
13.2,"-65.271459301256,-24.2487420282767",MEDIO
13.2,"-66.3662761567006,-23.0159634420402",MEDIO
13.2,"-66.3662761323181,-23.01595441241",MEDIO
13.2,"-65.4091163117797,-23.5885767881706",MEDIO
13.2,"-65.4091163522096,-23.5885677594965",MEDIO
13.2,"-64.983953414937,-24.4999659363349",MEDIO
13.2,"-64.9893709950163,-24.4999535723502",MEDIO
13.2,"-64.9839538103659,-24.4999405644283",MEDIO
13.2,"-64.9805630524959,-24.5006669885508",MEDIO
13.2,"-64.9793601888707,-24.5019050269921",MEDIO
13.2,"-64.9717688661369,-24.5040247218198",MEDIO
13.2,"-64.9600867084792,-24.5106256050238",MEDIO
13.2,"-64.9600848870278,-24.5106695261232",MEDIO
13.2,"-64.9632083168089,-24.4995421057645",MEDIO
13.2,"-64.9632933602657,-24.4996374698506",MEDIO
13.2,"-64.9646256739515,-24.500974537944",MEDIO
13.2,"-64.9646137847357,-24.5009907718107",MEDIO
13.2,"-65.2751669226579,-24.2369299899609",MEDIO
13.2,"-65.2752000942965,-24.236904656983",MEDIO
13.2,"-65.406314843815,-24.0942464491798",MEDIO
13.2,"-65.4066758345315,-24.095899265574",MEDIO
13.2,"-65.4066759592879,-24.0958717506994",MEDIO
13.2,"-65.5993283185227,-22.1100312645027",MEDIO
13.2,"-65.5990528522596,-22.1115128469857",MEDIO
13.2,"-65.5996383600643,-22.1072547585609",MEDIO
13.2,"-65.5995295048445,-22.108076215068",MEDIO
13.2,"-65.5993310671023,-22.1099954343327",MEDIO
13.2,"-65.5989616449252,-22.1099469256286",MEDIO
13.2,"-65.5992686857065,-22.1099871931585",MEDIO
13.2,"-65.6072298717071,-22.1124665472035",MEDIO
13.2,"-65.6072749174521,-22.1117787641642",MEDIO
13.2,"-65.6072749424573,-22.1117697335467",MEDIO
13.2,"-65.0024884961283,-24.4809798633901",MEDIO
13.2,"-65.0023445423514,-24.4809842716438",MEDIO
13.2,"-65.002344613528,-24.4809752449139",MEDIO
13.2,"-65.0058257668397,-24.4777346904301",MEDIO
13.2,"-64.8080461942217,-23.9427075354785",MEDIO
13.2,"-64.8078939374177,-23.9418072504312",MEDIO
13.2,"-64.8081836026921,-23.9418458037387",MEDIO
13.2,"-64.8116294392446,-23.9422293675114",MEDIO
13.2,"-64.8107466400616,-23.9421646240725",MEDIO
13.2,"-64.810746722801,-23.9421555972831",MEDIO
13.2,"-64.8117355990177,-23.9414212539837",MEDIO
13.2,"-64.8705346912457,-24.229193337161",MEDIO
13.2,"-64.8708613002478,-24.2301711598993",MEDIO
13.2,"-64.8715251861805,-24.2325022636191",MEDIO
13.2,"-64.8712881984623,-24.2316158787062",MEDIO
13.2,"-65.3367253494212,-24.3665195905078",MEDIO
13.2,"-65.3410810158771,-24.3632059641054",MEDIO
13.2,"-65.3410769931623,-24.3631826281334",MEDIO
13.2,"-65.3314202229856,-24.1665372353836",MEDIO
13.2,"-65.332790622471,-24.1687760803308",MEDIO
13.2,"-65.3313795009706,-24.1662893311724",MEDIO
13.2,"-65.3299120632895,-24.1628531638765",MEDIO
13.2,"-65.3296968513144,-24.1628958817215",MEDIO
13.2,"-65.3298402692239,-24.1628063503098",MEDIO
13.2,"-65.3293762407315,-24.1617634096521",MEDIO
13.2,"-65.2926707669459,-24.2047273968202",MEDIO
13.2,"-65.2929386391904,-24.2030427791021",MEDIO
13.2,"-65.4123818083077,-23.6324151281221",MEDIO
13.2,"-65.4103250649781,-23.6293509544438",MEDIO
13.2,"-65.4129056761272,-23.6322277641435",MEDIO
13.2,"-65.2938403309425,-24.1994650749278",MEDIO
13.2,"-65.2479162435069,-24.2585080471353",MEDIO
13.2,"-64.6645853879008,-24.3089444474613",MEDIO
13.2,"-65.295855636991,-24.1829290273462",MEDIO
13.2,"-65.2975630187773,-24.1821655637758",MEDIO
13.2,"-65.2986379226727,-24.1817497942396",MEDIO
13.2,"-65.2987780812946,-24.1816542548091",MEDIO
13.2,"-65.2986368760077,-24.1817171224118",MEDIO
13.2,"-65.2943711406808,-24.174911354049",MEDIO
13.2,"-65.2946184097853,-24.1768671341465",MEDIO
13.2,"-65.2988014048711,-24.170359365257",MEDIO
13.2,"-65.2991946910148,-24.1720309992597",MEDIO
13.2,"-65.3040720297477,-24.1695421291216",MEDIO
13.2,"-65.3037160668827,-24.1723444882932",MEDIO
13.2,"-65.3011103928749,-24.1793798228701",MEDIO
13.2,"-65.3011173576174,-24.179174389627",MEDIO
13.2,"-65.3012089015081,-24.1810740886096",MEDIO
13.2,"-65.3012474770838,-24.1810716856471",MEDIO
13.2,"-65.3012369872602,-24.1806498608097",MEDIO
13.2,"-65.3011460895136,-24.1793752270131",MEDIO
13.2,"-64.7951162412922,-23.8011029968361",MEDIO
13.2,"-64.7953262793228,-23.8009995327742",MEDIO
13.2,"-64.7943729578477,-23.7986220941199",MEDIO
13.2,"-64.7934073162014,-23.8017499655116",MEDIO
13.2,"-64.7951163245636,-23.8010939699331",MEDIO
13.2,"-65.4576778723404,-23.9703755379012",MEDIO
13.2,"-65.320759799233,-24.1702223899529",MEDIO
13.2,"-65.3910300081861,-24.0279461469705",MEDIO
13.2,"-65.3900088772779,-24.0235500636029",MEDIO
13.2,"-65.3902233649978,-24.023429492113",MEDIO
13.2,"-65.3887867407887,-24.0171545034767",MEDIO
13.2,"-65.3886588967448,-24.0139475311228",MEDIO
13.2,"-65.3849584634244,-24.0110993605671",MEDIO
13.2,"-65.3841773400521,-24.00975791603",MEDIO
13.2,"-65.382300468795,-24.0098007881175",MEDIO
13.2,"-65.371121314379,-24.0073366682849",MEDIO
13.2,"-65.3705333165546,-24.0064082880931",MEDIO
13.2,"-65.3535168101955,-24.0055200986707",MEDIO
13.2,"-65.3979348053216,-24.034398807101",MEDIO
13.2,"-65.3900216017174,-24.0235816248448",MEDIO
13.2,"-65.3785766233881,-24.010794572001",MEDIO
13.2,"-65.3900313839387,-24.0236086728606",MEDIO
13.2,"-65.3771156420628,-24.0105262893168",MEDIO
13.2,"-65.397934661096,-24.0344251159013",MEDIO
13.2,"-65.403121637348,-24.041917477242",MEDIO
13.2,"-65.3601597268009,-24.0039333016751",MEDIO
13.2,"-65.3601597714478,-24.00392427357",MEDIO
13.2,"-65.0692559681871,-24.5255993271948",MEDIO
13.2,"-65.0692560347274,-24.5255903003399",MEDIO
13.2,"-65.4131082256232,-23.5917307939152",MEDIO
13.2,"-65.4125365817444,-23.5904104240385",MEDIO
13.2,"-65.4143941694437,-23.5933520333642",MEDIO
13.2,"-65.4070352551561,-23.6024331653879",MEDIO
13.2,"-65.3275423202806,-23.20475387241",MEDIO
13.2,"-65.3275422675562,-23.204733388296",MEDIO
13.2,"-65.2739052466895,-23.2006239088932",MEDIO
13.2,"-65.344070461634,-23.2050995963224",MEDIO
13.2,"-65.3454221923429,-23.2028086050183",MEDIO
13.2,"-65.3275423654545,-23.2047448434352",MEDIO
13.2,"-65.3587339381852,-23.456815879258",MEDIO
13.2,"-64.6588449985684,-24.3079416379343",MEDIO
13.2,"-64.6591888520071,-24.3061907939586",MEDIO
13.2,"-64.6591875234907,-24.3067794762176",MEDIO
13.2,"-64.7968616641363,-23.811674912052",MEDIO
13.2,"-64.796391927115,-23.8118452363871",MEDIO
13.2,"-64.7968617473286,-23.8116658851556",MEDIO
13.2,"-65.6044494563087,-22.0991836215717",MEDIO
13.2,"-65.5310270060731,-22.2482375728002",MEDIO
13.2,"-65.3172172713701,-22.1925034029484",MEDIO
13.2,"-65.3172175224749,-22.1924923646875",MEDIO
13.2,"-65.2918885980586,-22.1636203886308",MEDIO
13.2,"-65.3615369746998,-22.1649961013808",MEDIO
13.2,"-65.3615369444657,-22.1650027997537",MEDIO
13.2,"-64.6591344398723,-24.3062480967113",MEDIO
13.2,"-64.6520691610619,-24.3114682540082",MEDIO
13.2,"-65.3508145139305,-22.9748533215038",MEDIO
13.2,"-65.3520993677867,-22.9761175912337",MEDIO
13.2,"-65.3905292477898,-23.572623097825",MEDIO
13.2,"-65.3905464218773,-23.5725666024511",MEDIO
13.2,"-65.4137434422403,-23.5966487511368",MEDIO
13.2,"-65.4142252278276,-23.5948533037698",MEDIO
13.2,"-65.4142283195835,-23.5948189028482",MEDIO
13.2,"-65.4138741423776,-23.5935134756192",MEDIO
13.2,"-65.1989477336023,-24.3928633073935",MEDIO
13.2,"-65.1989476766838,-24.392872334717",MEDIO
13.2,"-65.364051345906,-24.0032902996266",MEDIO
13.2,"-65.3694231095483,-24.005319957426",MEDIO
13.2,"-65.3640518690316,-24.0032678457139",MEDIO
13.2,"-65.3681680204465,-24.0054926454826",MEDIO
13.2,"-65.2176570855199,-24.2646199315176",MEDIO
13.2,"-65.2176571960379,-24.2646018764836",MEDIO
13.2,"-65.2006762679109,-24.2547173803233",MEDIO
13.2,"-65.1981688831801,-24.259807953515",MEDIO
13.2,"-65.198237876049,-24.2596226317083",MEDIO
13.2,"-65.2323584366664,-24.2680767715448",MEDIO
13.2,"-65.2910538314846,-24.2107339393326",MEDIO
13.2,"-65.2907660770188,-24.2103201706519",MEDIO
13.2,"-65.2914964220985,-24.1695431090486",MEDIO
7.6,"-65.3415434286828,-23.4438308768102",MEDIO
7.6,"-65.3408870992928,-23.4442741697697",MEDIO
7.6,"-65.3476052828753,-23.4491443266098",MEDIO
7.6,"-65.342772523094,-23.4500177987807",MEDIO
7.6,"-65.3420897430117,-23.4435871936702",MEDIO
7.6,"-65.2906025080632,-24.1655008939256",MEDIO
7.6,"-65.3003989378923,-22.9295549370912",MEDIO
13.2,"-65.2913450417085,-22.9244176680879",MEDIO
13.2,"-65.288095068682,-22.9111659742447",MEDIO
13.2,"-65.2859424227725,-22.9086551570896",MEDIO
13.2,"-65.285926922713,-22.908637028534",MEDIO
13.2,"-65.2851460569287,-22.903829851074",MEDIO
13.2,"-65.288010802447,-22.8884700529916",MEDIO
13.2,"-65.2949277070096,-22.8640128904655",MEDIO
13.2,"-65.2974170020944,-22.8521139673107",MEDIO
13.2,"-65.2933023258571,-22.8357613368938",MEDIO
13.2,"-65.2900600407539,-22.8753954987196",MEDIO
13.2,"-65.3004106820727,-22.9295459593997",MEDIO
13.2,"-65.2932399105473,-22.8357746042449",MEDIO
13.2,"-65.293271106545,-22.835770227905",MEDIO
13.2,"-65.294929979816,-22.864044503814",MEDIO
13.2,"-65.2929935542189,-22.8332949215984",MEDIO
13.2,"-65.2851459624724,-22.9038478716253",MEDIO
13.2,"-65.2880391137952,-22.915333017483",MEDIO
13.2,"-65.2959571455091,-22.8523763721717",MEDIO
13.2,"-65.2906788816237,-22.8363755190025",MEDIO
13.2,"-65.2856000355071,-22.907822674129",MEDIO
13.2,"-65.3014014018404,-22.8499097448341",MEDIO
13.2,"-65.2880932319953,-22.9111912385298",MEDIO
13.2,"-65.2900376424904,-22.8187148410193",MEDIO
13.2,"-65.2909010677402,-22.870500750772",MEDIO
13.2,"-65.2859618214951,-22.9086733031654",MEDIO
13.2,"-65.2900631048487,-22.8753684239305",MEDIO
13.2,"-65.2959570653095,-22.8523919468399",MEDIO
13.2,"-65.2906790373271,-22.8363907723829",MEDIO
13.2,"-65.2856002108804,-22.9078364538523",MEDIO
13.2,"-65.3014013531869,-22.8499192680684",MEDIO
13.2,"-65.2936718348839,-22.8374018369334",MEDIO
13.2,"-65.2880924433771,-22.9112020802631",MEDIO
13.2,"-65.2900375778164,-22.8187261890718",MEDIO
13.2,"-65.2929934553829,-22.8333083959415",MEDIO
13.2,"-65.2851458912822,-22.9038614534036",MEDIO
13.2,"-65.2968732795402,-22.8499489953121",MEDIO
13.2,"-65.2900377575373,-22.8186945277493",MEDIO
13.2,"-65.3119394784142,-22.930075550759",MEDIO
13.2,"-65.3121755664176,-22.9310020512491",MEDIO
13.2,"-65.2991752744567,-22.9275868074927",MEDIO
13.2,"-65.3099819048175,-22.9279911539607",MEDIO
13.2,"-65.3121849809695,-22.9310228723309",MEDIO
13.2,"-65.2982480052986,-22.9271486385637",MEDIO
13.2,"-65.3010404699337,-22.9285052508233",MEDIO
13.2,"-65.3004747797614,-22.9294663391153",MEDIO
13.2,"-65.3132234972692,-22.9419563367473",MEDIO
13.2,"-65.3368558195463,-22.9504357838178",MEDIO
13.2,"-65.3363653380431,-22.9510477365908",MEDIO
13.2,"-65.3322706274514,-22.9484074970716",MEDIO
13.2,"-65.3188627022076,-22.9331385481103",MEDIO
13.2,"-65.3362613296711,-22.9511827434644",MEDIO
13.2,"-65.336349628293,-22.951070244539",MEDIO
13.2,"-65.3406147811684,-22.9457335509507",MEDIO
13.2,"-65.3171776167462,-22.9281312847083",MEDIO
13.2,"-65.3169843542554,-22.927668918368",MEDIO
13.2,"-65.3419261270616,-22.9572687318582",MEDIO
13.2,"-65.368725738079,-22.9000215456967",MEDIO
13.2,"-65.3668610856339,-22.9033087849693",MEDIO
13.2,"-65.3627738113176,-22.9568675092942",MEDIO
13.2,"-65.3684190276452,-22.9190630970023",MEDIO
13.2,"-65.3727741491061,-22.8787169908966",MEDIO
13.2,"-65.3707776074288,-22.8925159670253",MEDIO
13.2,"-65.3719616268795,-22.8813597986307",MEDIO
13.2,"-65.36655013738,-22.8027635474517",MEDIO
13.2,"-65.373263586944,-22.8740225162675",MEDIO
13.2,"-65.352793239574,-22.7638311777018",MEDIO
13.2,"-65.361766104044,-22.9483735362602",MEDIO
13.2,"-65.3624914522789,-22.9420699209745",MEDIO
13.2,"-65.3680983854591,-22.9309847582098",MEDIO
13.2,"-65.3657379546228,-22.9243429545225",MEDIO
13.2,"-65.366101811434,-22.9193287308421",MEDIO
13.2,"-65.3687250539033,-22.899998976382",MEDIO
13.2,"-65.3707774101903,-22.8924933940366",MEDIO
13.2,"-65.3727744387204,-22.8786944142025",MEDIO
13.2,"-65.3733400655732,-22.8646126785408",MEDIO
13.2,"-65.3638879980961,-22.961330742081",MEDIO
13.2,"-65.1096578763104,-24.3932423858001",MEDIO
13.2,"-65.2651667805945,-24.213708516884",MEDIO
13.2,"-65.1093734126218,-24.3922964456008",MEDIO
13.2,"-65.2651225391614,-24.2137660505653",MEDIO
13.2,"-65.1082978986227,-24.3860011504479",MEDIO
13.2,"-65.2651647645911,-24.2137129841065",MEDIO
