tension,geojson
13.2,"-64.80131029874,-23.9455716955133"
13.2,"-65.3124705161797,-24.1666982664199"
13.2,"-64.8941388154824,-24.2578571653032"
13.2,"-64.8941388935654,-24.2578481386221"
13.2,"-64.8924072006203,-24.2577445796472"
13.2,"-64.8924072788252,-24.2577355529713"
13.2,"-64.89240735703,-24.2577265262953"
13.2,"-64.8941389716484,-24.2578391119409"
13.2,"-64.6415742089077,-24.2710866351222"
13.2,"-64.64157430488,-24.2710776093165"
13.2,"-64.6415744008522,-24.2710685835109"
33,"-64.8709360760432,-23.9505677799145"
33,"-64.8709361546267,-23.9505587529422"
13.2,"-64.8709362332101,-23.95054972597"
13.2,"-65.2399160603622,-24.2393332703129"
13.2,"-65.2399545929318,-24.2447721584119"
13.2,"-65.0089605702979,-24.4745750165976"
13.2,"-65.0081233463368,-24.4752645456336"
13.2,"-65.0089596332552,-24.4745417931823"
13.2,"-65.0085614688696,-24.4749333556247"
13.2,"-65.2550243005147,-24.2588922859759"
13.2,"-65.2568993601071,-24.2587044968572"
13.2,"-65.2561794296814,-24.2587720907335"
13.2,"-65.2523812672776,-24.2601575821915"
13.2,"-65.2536461608592,-24.2600547531964"
13.2,"-65.2536640918496,-24.260209659779"
13.2,"-65.2525350390951,-24.2601477990576"
13.2,"-65.253528855081,-24.2590182786357"
13.2,"-65.2466543712572,-24.2606488181907"
13.2,"-65.2469668660397,-24.2605892510146"
13.2,"-65.256095607223,-24.2587803486279"
13.2,"-65.2536068812172,-24.2590136828645"
13.2,"-65.6397339091003,-22.4196429476161"
13.2,"-65.7009296475773,-22.4181159895864"
13.2,"-65.700917060011,-22.4180906028796"
13.2,"-65.3538785146387,-23.2108528498333"
13.2,"-65.354014609153,-23.2090892542719"
13.2,"-65.354680788104,-23.2047105368303"
13.2,"-65.3541887263227,-23.2066687959628"
13.2,"-65.3541887697106,-23.2066597669416"
13.2,"-65.3541888130985,-23.2066507379204"
13.2,"-65.5116960921515,-23.7357779040682"
13.2,"-65.5126106671906,-23.7351054814403"
13.2,"-65.5111332651309,-23.7351896247562"
13.2,"-65.5126124589443,-23.7351284490395"
13.2,"-64.414089221637,-23.6703225660437"
13.2,"-64.4175422375122,-23.664876082501"
13.2,"-64.4140991709983,-23.6702962227926"
13.2,"-64.4164093193856,-23.6667694620293"
13.2,"-65.5829020900364,-22.119017686266"
13.2,"-65.582902116603,-22.1190086556837"
13.2,"-65.237286405641,-24.2319291815615"
13.2,"-65.7027885193349,-22.4229393662744"
13.2,"-65.7027885385538,-22.4229303359115"
13.2,"-65.2666626414,-24.2697494817588"
13.2,"-65.2666626932103,-24.2697404541453"
13.2,"-65.2667119533244,-24.2703887688396"
13.2,"-65.2667120051326,-24.2703797412267"
13.2,"-65.3141894798616,-24.1691335960916"
13.2,"-65.2623749841994,-24.2128138585372"
13.2,"-65.2623750361745,-24.2128048308648"
13.2,"-65.2623750881495,-24.2127958031925"
13.2,"-64.9793988196391,-24.5019697758712"
13.2,"-64.992709826447,-24.5145104497061"
13.2,"-65.3729492160633,-23.1500158855455"
7.6,"-65.372949258076,-23.1500068564264"
13.2,"-65.3729493000887,-23.1499978273072"
13.2,"-65.3741856251982,-23.1494614414014"
13.2,"-65.3733788505365,-23.1463152236428"
13.2,"-65.3742209114312,-23.1494463892759"
13.2,"-65.3737872619547,-23.1478672029269"
13.2,"-65.3737873039069,-23.1478581738039"
13.2,"-65.3737873458591,-23.1478491446809"
13.2,"-65.3737883468607,-23.1478379353133"
13.2,"-64.7877868632186,-23.9862186366435"
13.2,"-64.787630973806,-23.986907820016"
13.2,"-64.7876617338928,-23.9867726875371"
13.2,"-64.7876669026501,-23.9867456536292"
13.2,"-64.7877871412552,-23.9862412017478"
13.2,"-64.7869436933383,-23.9899573598598"
13.2,"-64.7923712343616,-23.9837804311113"
13.2,"-64.7829951724204,-23.9871868492128"
13.2,"-64.842689642487,-24.2288389853146"
13.2,"-64.842689724092,-24.2288299587599"
13.2,"-64.3653581283371,-23.5628490041265"
13.2,"-64.3653309663374,-23.5628892003557"
13.2,"-64.36534178964,-23.5628607738606"
13.2,"-65.0416094873294,-24.4730934098845"
13.2,"-65.0416225149175,-24.4730894159227"
13.2,"-65.0416517824965,-24.4730806370848"
13.2,"-65.0429727333771,-24.4832297320945"
13.2,"-65.0425519958393,-24.4820269662879"
13.2,"-65.0417471361577,-24.4786204062023"
13.2,"-65.0425523162991,-24.482049531981"
13.2,"-65.0429726168804,-24.4832593453143"
13.2,"-65.0428117072427,-24.4845492866503"
13.2,"-65.2796005975617,-24.2282737983123"
13.2,"-65.2784804097053,-24.2282608073692"
13.2,"-65.2796006483596,-24.2282647706237"
13.2,"-65.2465168280527,-24.2594654406296"
13.2,"-65.2465727635335,-24.2594265554463"
13.2,"-65.2428826590027,-24.2631812630026"
13.2,"-65.243565198115,-24.262992577824"
13.2,"-65.2423042756391,-24.2614277287373"
13.2,"-65.2463512459935,-24.2595447552055"
13.2,"-65.0225837591797,-24.4617368704447"
13.2,"-64.8424729689945,-24.2276731639948"
13.2,"-64.8427014637047,-24.2288201122698"
13.2,"-64.8439102332968,-24.2341152157757"
13.2,"-64.8439944110134,-24.2347513605078"
13.2,"-64.8439734922721,-24.2347534107778"
13.2,"-64.8439396426374,-24.2343196511142"
13.2,"-64.5686692530708,-23.6832873102155"
13.2,"-64.5687295746877,-23.6833745850485"
13.2,"-64.5686447478775,-23.6832870791903"
13.2,"-65.1878895179665,-24.2596091698696"
13.2,"-65.1873236044278,-24.2595008274185"
13.2,"-65.5614862840243,-22.3693351618108"
13.2,"-65.5648821296942,-22.3770531990506"
13.2,"-65.5648825169249,-22.3770848063169"
13.2,"-65.5614868826044,-22.3692990420096"
13.2,"-65.5717531031098,-22.4121608775145"
13.2,"-65.5702550006734,-22.4055275955985"
13.2,"-65.5702784659027,-22.4055188797869"
13.2,"-65.5704122133491,-22.4101611326349"
13.2,"-65.5701932836842,-22.4055429618277"
13.2,"-65.5677591295997,-22.3893489216534"
13.2,"-65.5699794589632,-22.3990354380564"
13.2,"-65.5698421482363,-22.3952265603347"
13.2,"-65.5668432957498,-22.385946147892"
13.2,"-65.5677587262019,-22.3893298837181"
13.2,"-65.5659545690791,-22.381826321359"
13.2,"-65.5668365824113,-22.3859190388907"
13.2,"-65.5653479199257,-22.3820307917714"
13.2,"-64.9920877674745,-24.5126981050587"
13.2,"-64.9920905859152,-24.5127301671054"
13.2,"-65.6774540566236,-22.3606415249842"
13.2,"-65.6774540774165,-22.3606324945735"
13.2,"-65.6774540982094,-22.3606234641628"
13.2,"-65.6653300027055,-22.3531616563092"
13.2,"-65.4971759394335,-23.7465995181758"
13.2,"-65.2310501503407,-24.2685533531794"
13.2,"-65.2310502046638,-24.2685443256385"
13.2,"-65.2302558992471,-24.2665092818568"
13.2,"-65.2302559536211,-24.2665002543152"
13.2,"-64.3257429691121,-23.9945474407332"
13.2,"-64.3255303467554,-23.9945204413978"
33,"-64.3290752877609,-23.9976839988096"
33,"-64.3233734499878,-23.9918196399176"
33,"-64.321386565246,-23.9847558835626"
13.2,"-64.3249266649573,-23.9944764826924"
13.2,"-64.325713574478,-23.9945423097353"
13.2,"-64.3249541076951,-23.9944770361481"
13.2,"-64.325684182216,-23.9945417035337"
13.2,"-65.2952502283434,-24.1907871459712"
