tension,geojson
13.2,"-66.1798274350757,-22.8557268534778"
13.2,"-66.3066403222168,-22.9291285302027"
13.2,"-66.3500568070605,-22.9649605149459"
13.2,"-66.3514752652859,-22.9740775307077"
13.2,"-66.3572165952261,-22.98108581812"
33,"-66.3584889381107,-22.9789152482983"
13.2,"-66.3596826800283,-22.9768700252175"
33,"-66.3604207443384,-23.0037799113059"
13.2,"-66.359532893039,-23.0023877261739"
13.2,"-66.3608748905532,-23.0044854630029"
13.2,"-66.3669018378107,-23.0016155327856"
13.2,"-66.3669018134036,-23.0016065031396"
33,"-66.3547700536654,-23.0033380499214"
13.2,"-66.3547700300633,-23.0033290202653"
13.2,"-66.359039221604,-22.9746142959386"
13.2,"-66.3590391977512,-22.974605266254"
13.2,"-66.3590391977511,-22.974605266254"
13.2,"-66.3503905391388,-22.9762006715897"
33,"-66.3503905158587,-22.9761916418985"
33,"-66.3526132923902,-22.9754183686481"
33,"-66.3447566207811,-22.9808071257876"
33,"-66.3447565978702,-22.9807980960962"
13.2,"-66.3512238506877,-22.968917194094"
13.2,"-66.3512238273605,-22.9689081643952"
33,"-66.3519540804416,-22.9615613127197"
13.2,"-66.3519540570743,-22.9615522830134"
33,"-66.3519540570743,-22.9615522830133"
33,"-66.3498077295374,-22.9640918477072"
13.2,"-66.3498077063097,-22.9640828180016"
13.2,"-66.3361024240313,-22.9434740369511"
13.2,"-66.3361024017359,-22.9434650072091"
13.2,"-66.3338944105155,-22.9409243383056"
13.2,"-66.3361024017359,-22.943465007209"
13.2,"-66.3266470144559,-22.9298027732319"
13.2,"-66.3266469928021,-22.9297937434656"
13.2,"-66.3079732609382,-22.9431374040153"
13.2,"-66.3079732405092,-22.9431283742478"
13.2,"-66.3036221933961,-22.9262575471128"
13.2,"-66.3036221732721,-22.9262485173224"
13.2,"-66.2645027116444,-22.9186378495941"
13.2,"-66.2645026941198,-22.9186288197644"
13.2,"-66.2632312735447,-22.9192873217585"
13.2,"-66.2540793863886,-22.9151851031551"
13.2,"-66.2540793695573,-22.915176073314"
13.2,"-66.2512741062134,-22.9132133601073"
13.2,"-66.2540793695573,-22.9151760733139"
13.2,"-66.2027352450998,-22.8675260799983"
13.2,"-66.2027352317009,-22.8675170500707"
13.2,"-66.2023525700852,-22.8667847744017"
13.2,"-66.2027352317009,-22.8675170500706"
13.2,"-66.1971579491383,-22.8645127967395"
13.2,"-66.1971579361099,-22.8645037668053"
13.2,"-66.2119336522175,-22.8767248532149"
13.2,"-66.2129956690356,-22.8774055738237"
13.2,"-66.2467221379682,-22.9100370233214"
13.2,"-66.2444817304679,-22.908410629727"
13.2,"-66.2865882767705,-22.9183577407615"
13.2,"-66.2869840153949,-22.9184305843573"
13.2,"-66.3074957581718,-22.9293091966141"
13.2,"-66.3075077869818,-22.9296445707339"
13.2,"-65.5742811940326,-22.1243234335773"
13.2,"-65.5760925306397,-22.1494587723529"
13.2,"-65.5760925576811,-22.1494497418122"
13.2,"-65.1840453438067,-24.2673537552135"
13.2,"-65.1800805116768,-24.2710534360357"
13.2,"-65.1770021807695,-24.2740030566402"
13.2,"-65.1800809224941,-24.2710310202868"
13.2,"-65.1770024272656,-24.2739832007976"
13.2,"-65.2791830319325,-24.1997474562463"
13.2,"-65.2559907627609,-24.2498373392223"
13.2,"-65.2587802744351,-24.2458753885761"
13.2,"-65.2587573612427,-24.2465689669461"
13.2,"-65.2587881012973,-24.2457939760753"
33,"-65.2587837021179,-24.2458417521366"
33,"-64.6184798268565,-23.8816408802015"
33,"-64.6184799226967,-23.881631854024"
13.2,"-64.6092708314091,-23.8696964776224"
13.2,"-64.6104271137457,-23.871362106785"
13.2,"-64.6291780860135,-23.8945150846585"
13.2,"-64.6291790289959,-23.8944923611222"
13.2,"-66.1814767951491,-22.856041998067"
13.2,"-66.1812587385736,-22.8590233246845"
13.2,"-66.181258726599,-22.8590142947358"
13.2,"-64.3070401122713,-23.984820651057"
13.2,"-64.3068428180496,-23.9844238327573"
13.2,"-64.3040825422264,-23.9780017621077"
13.2,"-64.3019505400884,-23.9720405643453"
13.2,"-64.2996434933197,-23.971960003412"
13.2,"-64.3045535839375,-23.9796753549707"
13.2,"-64.3046179289715,-23.9796716912642"
33,"-64.3048194261241,-23.9780009876533"
33,"-64.3041670648492,-23.9780036154004"
33,"-64.3028979712131,-23.9797610159526"
33,"-64.3068420043333,-23.9844603362076"
33,"-64.306088533277,-23.9780352752788"
33,"-64.3021745771012,-23.9725413322956"
33,"-64.3071882502582,-23.9851711362596"
33,"-64.2999594303054,-23.9719779217828"
33,"-64.2996736514991,-23.971961107562"
33,"-64.3071724345826,-23.9851480193056"
33,"-64.3001085550075,-23.9792643691963"
33,"-64.3037547576684,-23.9762709684965"
33,"-64.303744935349,-23.9762709271298"
33,"-64.3052045459377,-23.9809613912608"
33,"-64.3052046640555,-23.9809523665312"
33,"-64.3041732971812,-23.9789597985112"
7.6,"-64.3041734153597,-23.9789507737841"
7.6,"-64.3019312045637,-23.9720029722361"
7.6,"-64.3038692084085,-23.9770261459682"
7.6,"-64.3026335262586,-23.9734597852892"
7.6,"-64.3108076538337,-23.9901706469925"
13.2,"-64.3108056383974,-23.9901908254021"
13.2,"-64.2975286676911,-23.9808698012624"
13.2,"-64.2985910271827,-23.9792377671785"
13.2,"-64.2985933567301,-23.9792051018551"
13.2,"-64.3001081339219,-23.9792364298988"
13.2,"-64.3075436323399,-23.9856506736077"
13.2,"-64.3071981353221,-23.9851850100765"
13.2,"-64.2993260337791,-23.967526230534"
13.2,"-64.2993259340357,-23.9675048240033"
13.2,"-65.324931919247,-24.1634083324092"
13.2,"-65.3256792788849,-24.1673497218195"
13.2,"-65.2104806344705,-24.1681091532435"
13.2,"-65.4074171400796,-24.0777646560308"
13.2,"-65.2724762693265,-24.248643823187"
13.2,"-65.2724214190294,-24.2486491520266"
13.2,"-65.2716633220276,-24.2454449629697"
13.2,"-65.2722689261714,-24.2472567623269"
13.2,"-65.2723060233059,-24.2472410715328"
13.2,"-65.2723457086722,-24.2480544703987"
13.2,"-65.271459301256,-24.2487420282767"
13.2,"-66.3662761567006,-23.0159634420402"
13.2,"-66.3662761323181,-23.01595441241"
13.2,"-65.4091163117797,-23.5885767881706"
13.2,"-65.4091163522096,-23.5885677594965"
13.2,"-64.983953414937,-24.4999659363349"
13.2,"-64.9893709950163,-24.4999535723502"
13.2,"-64.9839538103659,-24.4999405644283"
13.2,"-64.9805630524959,-24.5006669885508"
13.2,"-64.9793601888707,-24.5019050269921"
13.2,"-64.9717688661369,-24.5040247218198"
13.2,"-64.9600867084792,-24.5106256050238"
13.2,"-64.9600848870278,-24.5106695261232"
13.2,"-64.9632083168089,-24.4995421057645"
13.2,"-64.9632933602657,-24.4996374698506"
13.2,"-64.9646256739515,-24.500974537944"
13.2,"-64.9646137847357,-24.5009907718107"
13.2,"-65.2751669226579,-24.2369299899609"
13.2,"-65.2752000942965,-24.236904656983"
13.2,"-65.406314843815,-24.0942464491798"
13.2,"-65.4066758345315,-24.095899265574"
13.2,"-65.4066759592879,-24.0958717506994"
13.2,"-65.5993283185227,-22.1100312645027"
13.2,"-65.5990528522596,-22.1115128469857"
13.2,"-65.5996383600643,-22.1072547585609"
13.2,"-65.5995295048445,-22.108076215068"
13.2,"-65.5993310671023,-22.1099954343327"
13.2,"-65.5989616449252,-22.1099469256286"
13.2,"-65.5992686857065,-22.1099871931585"
13.2,"-65.6072298717071,-22.1124665472035"
13.2,"-65.6072749174521,-22.1117787641642"
13.2,"-65.6072749424573,-22.1117697335467"
13.2,"-65.0024884961283,-24.4809798633901"
13.2,"-65.0023445423514,-24.4809842716438"
13.2,"-65.002344613528,-24.4809752449139"
13.2,"-65.0058257668397,-24.4777346904301"
13.2,"-64.8080461942217,-23.9427075354785"
13.2,"-64.8078939374177,-23.9418072504312"
13.2,"-64.8081836026921,-23.9418458037387"
13.2,"-64.8116294392446,-23.9422293675114"
13.2,"-64.8107466400616,-23.9421646240725"
13.2,"-64.810746722801,-23.9421555972831"
13.2,"-64.8117355990177,-23.9414212539837"
13.2,"-64.8705346912457,-24.229193337161"
13.2,"-64.8708613002478,-24.2301711598993"
13.2,"-64.8715251861805,-24.2325022636191"
13.2,"-64.8712881984623,-24.2316158787062"
13.2,"-65.3367253494212,-24.3665195905078"
13.2,"-65.3410810158771,-24.3632059641054"
13.2,"-65.3410769931623,-24.3631826281334"
13.2,"-65.3314202229856,-24.1665372353836"
13.2,"-65.332790622471,-24.1687760803308"
13.2,"-65.3313795009706,-24.1662893311724"
13.2,"-65.3299120632895,-24.1628531638765"
13.2,"-65.3296968513144,-24.1628958817215"
13.2,"-65.3298402692239,-24.1628063503098"
13.2,"-65.3293762407315,-24.1617634096521"
13.2,"-65.2926707669459,-24.2047273968202"
13.2,"-65.2929386391904,-24.2030427791021"
13.2,"-65.4123818083077,-23.6324151281221"
13.2,"-65.4103250649781,-23.6293509544438"
13.2,"-65.4129056761272,-23.6322277641435"
13.2,"-65.2938403309425,-24.1994650749278"
13.2,"-65.2479162435069,-24.2585080471353"
13.2,"-64.6645853879008,-24.3089444474613"
13.2,"-65.295855636991,-24.1829290273462"
13.2,"-65.2975630187773,-24.1821655637758"
13.2,"-65.2986379226727,-24.1817497942396"
13.2,"-65.2987780812946,-24.1816542548091"
13.2,"-65.2986368760077,-24.1817171224118"
13.2,"-65.2943711406808,-24.174911354049"
13.2,"-65.2946184097853,-24.1768671341465"
13.2,"-65.2988014048711,-24.170359365257"
13.2,"-65.2991946910148,-24.1720309992597"
13.2,"-65.3040720297477,-24.1695421291216"
13.2,"-65.3037160668827,-24.1723444882932"
13.2,"-65.3011103928749,-24.1793798228701"
13.2,"-65.3011173576174,-24.179174389627"
13.2,"-65.3012089015081,-24.1810740886096"
13.2,"-65.3012474770838,-24.1810716856471"
13.2,"-65.3012369872602,-24.1806498608097"
13.2,"-65.3011460895136,-24.1793752270131"
13.2,"-64.7951162412922,-23.8011029968361"
13.2,"-64.7953262793228,-23.8009995327742"
13.2,"-64.7943729578477,-23.7986220941199"
13.2,"-64.7934073162014,-23.8017499655116"
13.2,"-64.7951163245636,-23.8010939699331"
13.2,"-65.4576778723404,-23.9703755379012"
13.2,"-65.320759799233,-24.1702223899529"
13.2,"-65.3910300081861,-24.0279461469705"
13.2,"-65.3900088772779,-24.0235500636029"
13.2,"-65.3902233649978,-24.023429492113"
13.2,"-65.3887867407887,-24.0171545034767"
13.2,"-65.3886588967448,-24.0139475311228"
13.2,"-65.3849584634244,-24.0110993605671"
13.2,"-65.3841773400521,-24.00975791603"
13.2,"-65.382300468795,-24.0098007881175"
13.2,"-65.371121314379,-24.0073366682849"
13.2,"-65.3705333165546,-24.0064082880931"
13.2,"-65.3535168101955,-24.0055200986707"
13.2,"-65.3979348053216,-24.034398807101"
13.2,"-65.3900216017174,-24.0235816248448"
13.2,"-65.3785766233881,-24.010794572001"
13.2,"-65.3900313839387,-24.0236086728606"
13.2,"-65.3771156420628,-24.0105262893168"
13.2,"-65.397934661096,-24.0344251159013"
13.2,"-65.403121637348,-24.041917477242"
13.2,"-65.3601597268009,-24.0039333016751"
13.2,"-65.3601597714478,-24.00392427357"
13.2,"-65.0692559681871,-24.5255993271948"
13.2,"-65.0692560347274,-24.5255903003399"
13.2,"-65.4131082256232,-23.5917307939152"
13.2,"-65.4125365817444,-23.5904104240385"
13.2,"-65.4143941694437,-23.5933520333642"
13.2,"-65.4070352551561,-23.6024331653879"
13.2,"-65.3275423202806,-23.20475387241"
13.2,"-65.3275422675562,-23.204733388296"
13.2,"-65.2739052466895,-23.2006239088932"
13.2,"-65.344070461634,-23.2050995963224"
13.2,"-65.3454221923429,-23.2028086050183"
13.2,"-65.3275423654545,-23.2047448434352"
13.2,"-65.3587339381852,-23.456815879258"
13.2,"-64.6588449985684,-24.3079416379343"
13.2,"-64.6591888520071,-24.3061907939586"
13.2,"-64.6591875234907,-24.3067794762176"
13.2,"-64.7968616641363,-23.811674912052"
13.2,"-64.796391927115,-23.8118452363871"
13.2,"-64.7968617473286,-23.8116658851556"
13.2,"-65.6044494563087,-22.0991836215717"
13.2,"-65.5310270060731,-22.2482375728002"
13.2,"-65.3172172713701,-22.1925034029484"
13.2,"-65.3172175224749,-22.1924923646875"
13.2,"-65.2918885980586,-22.1636203886308"
13.2,"-65.3615369746998,-22.1649961013808"
13.2,"-65.3615369444657,-22.1650027997537"
13.2,"-64.6591344398723,-24.3062480967113"
13.2,"-64.6520691610619,-24.3114682540082"
13.2,"-65.3508145139305,-22.9748533215038"
13.2,"-65.3520993677867,-22.9761175912337"
13.2,"-65.3905292477898,-23.572623097825"
13.2,"-65.3905464218773,-23.5725666024511"
13.2,"-65.4137434422403,-23.5966487511368"
13.2,"-65.4142252278276,-23.5948533037698"
13.2,"-65.4142283195835,-23.5948189028482"
13.2,"-65.4138741423776,-23.5935134756192"
13.2,"-65.1989477336023,-24.3928633073935"
13.2,"-65.1989476766838,-24.392872334717"
13.2,"-65.364051345906,-24.0032902996266"
13.2,"-65.3694231095483,-24.005319957426"
13.2,"-65.3640518690316,-24.0032678457139"
13.2,"-65.3681680204465,-24.0054926454826"
13.2,"-65.2176570855199,-24.2646199315176"
13.2,"-65.2176571960379,-24.2646018764836"
13.2,"-65.2006762679109,-24.2547173803233"
13.2,"-65.1981688831801,-24.259807953515"
13.2,"-65.198237876049,-24.2596226317083"
13.2,"-65.2323584366664,-24.2680767715448"
13.2,"-65.2910538314846,-24.2107339393326"
13.2,"-65.2907660770188,-24.2103201706519"
13.2,"-65.2914964220985,-24.1695431090486"
7.6,"-65.3415434286828,-23.4438308768102"
7.6,"-65.3408870992928,-23.4442741697697"
7.6,"-65.3476052828753,-23.4491443266098"
7.6,"-65.342772523094,-23.4500177987807"
7.6,"-65.3420897430117,-23.4435871936702"
7.6,"-65.2906025080632,-24.1655008939256"
7.6,"-65.3003989378923,-22.9295549370912"
13.2,"-65.2913450417085,-22.9244176680879"
13.2,"-65.288095068682,-22.9111659742447"
13.2,"-65.2859424227725,-22.9086551570896"
13.2,"-65.285926922713,-22.908637028534"
13.2,"-65.2851460569287,-22.903829851074"
13.2,"-65.288010802447,-22.8884700529916"
13.2,"-65.2949277070096,-22.8640128904655"
13.2,"-65.2974170020944,-22.8521139673107"
13.2,"-65.2933023258571,-22.8357613368938"
13.2,"-65.2900600407539,-22.8753954987196"
13.2,"-65.3004106820727,-22.9295459593997"
13.2,"-65.2932399105473,-22.8357746042449"
13.2,"-65.293271106545,-22.835770227905"
13.2,"-65.294929979816,-22.864044503814"
13.2,"-65.2929935542189,-22.8332949215984"
13.2,"-65.2851459624724,-22.9038478716253"
13.2,"-65.2880391137952,-22.915333017483"
13.2,"-65.2959571455091,-22.8523763721717"
13.2,"-65.2906788816237,-22.8363755190025"
13.2,"-65.2856000355071,-22.907822674129"
13.2,"-65.3014014018404,-22.8499097448341"
13.2,"-65.2880932319953,-22.9111912385298"
13.2,"-65.2900376424904,-22.8187148410193"
13.2,"-65.2909010677402,-22.870500750772"
13.2,"-65.2859618214951,-22.9086733031654"
13.2,"-65.2900631048487,-22.8753684239305"
13.2,"-65.2959570653095,-22.8523919468399"
13.2,"-65.2906790373271,-22.8363907723829"
13.2,"-65.2856002108804,-22.9078364538523"
13.2,"-65.3014013531869,-22.8499192680684"
13.2,"-65.2936718348839,-22.8374018369334"
13.2,"-65.2880924433771,-22.9112020802631"
13.2,"-65.2900375778164,-22.8187261890718"
13.2,"-65.2929934553829,-22.8333083959415"
13.2,"-65.2851458912822,-22.9038614534036"
13.2,"-65.2968732795402,-22.8499489953121"
13.2,"-65.2900377575373,-22.8186945277493"
13.2,"-65.3119394784142,-22.930075550759"
13.2,"-65.3121755664176,-22.9310020512491"
13.2,"-65.2991752744567,-22.9275868074927"
13.2,"-65.3099819048175,-22.9279911539607"
13.2,"-65.3121849809695,-22.9310228723309"
13.2,"-65.2982480052986,-22.9271486385637"
13.2,"-65.3010404699337,-22.9285052508233"
13.2,"-65.3004747797614,-22.9294663391153"
13.2,"-65.3132234972692,-22.9419563367473"
13.2,"-65.3368558195463,-22.9504357838178"
13.2,"-65.3363653380431,-22.9510477365908"
13.2,"-65.3322706274514,-22.9484074970716"
13.2,"-65.3188627022076,-22.9331385481103"
13.2,"-65.3362613296711,-22.9511827434644"
13.2,"-65.336349628293,-22.951070244539"
13.2,"-65.3406147811684,-22.9457335509507"
13.2,"-65.3171776167462,-22.9281312847083"
13.2,"-65.3169843542554,-22.927668918368"
13.2,"-65.3419261270616,-22.9572687318582"
13.2,"-65.368725738079,-22.9000215456967"
13.2,"-65.3668610856339,-22.9033087849693"
13.2,"-65.3627738113176,-22.9568675092942"
13.2,"-65.3684190276452,-22.9190630970023"
13.2,"-65.3727741491061,-22.8787169908966"
13.2,"-65.3707776074288,-22.8925159670253"
13.2,"-65.3719616268795,-22.8813597986307"
13.2,"-65.36655013738,-22.8027635474517"
13.2,"-65.373263586944,-22.8740225162675"
13.2,"-65.352793239574,-22.7638311777018"
13.2,"-65.361766104044,-22.9483735362602"
13.2,"-65.3624914522789,-22.9420699209745"
13.2,"-65.3680983854591,-22.9309847582098"
13.2,"-65.3657379546228,-22.9243429545225"
13.2,"-65.366101811434,-22.9193287308421"
13.2,"-65.3687250539033,-22.899998976382"
13.2,"-65.3707774101903,-22.8924933940366"
13.2,"-65.3727744387204,-22.8786944142025"
13.2,"-65.3733400655732,-22.8646126785408"
13.2,"-65.3638879980961,-22.961330742081"
13.2,"-65.1096578763104,-24.3932423858001"
13.2,"-65.2651667805945,-24.213708516884"
13.2,"-65.1093734126218,-24.3922964456008"
13.2,"-65.2651225391614,-24.2137660505653"
13.2,"-65.1082978986227,-24.3860011504479"
13.2,"-65.2651647645911,-24.2137129841065"
13.2,"-65.1078584350843,-24.3856501156242"
13.2,"-65.2650265114389,-24.2141341324442"
13.2,"-65.2650695724898,-24.2137737874233"
13.2,"-65.2656942766697,-24.2137600446305"
13.2,"-65.1073693965599,-24.3852615581175"
13.2,"-65.2652216454809,-24.2138641034406"
13.2,"-65.1065358777443,-24.3893531710956"
13.2,"-65.2651609470828,-24.214144967318"
13.2,"-65.2651447007811,-24.2137350445465"
13.2,"-65.1051298528431,-24.3890364795944"
13.2,"-65.2657280305128,-24.21376020826"
13.2,"-65.1050909110729,-24.3890273981076"
13.2,"-65.265069274384,-24.2138013870646"
13.2,"-65.1050044119704,-24.3889979919301"
13.2,"-65.2650691134719,-24.2138162245881"
13.2,"-65.1008957851375,-24.4070078144918"
33,"-65.2652034305224,-24.2141181607244"
13.2,"-65.0966150577734,-24.4015348268052"
13.2,"-65.2657007729762,-24.2139009585611"
13.2,"-65.0914878261411,-24.4084576319903"
13.2,"-65.3305731809952,-24.1993796964807"
13.2,"-65.0909689688952,-24.4093118731721"
13.2,"-65.3305731462694,-24.1993876662712"
13.2,"-65.0908343068183,-24.4095276589421"
13.2,"-65.0880454185162,-24.4141044944459"
13.2,"-64.8674250224947,-24.2318859291082"
13.2,"-65.0858236199509,-24.4278185004715"
13.2,"-64.8656585507676,-24.2315746168837"
13.2,"-65.085281447993,-24.4280678684415"
13.2,"-64.867393842534,-24.2319923050039"
13.2,"-65.0784769616054,-24.5546832083086"
13.2,"-64.8644296755271,-24.2307524050497"
13.2,"-65.077762644575,-24.541087409923"
13.2,"-64.8674034183114,-24.2319872713611"
13.2,"-65.2650646468342,-24.2140805795384"
13.2,"-65.2650642240031,-24.2141002349045"
13.2,"-65.0776441570363,-24.5388349780557"
13.2,"-65.265065594655,-24.2140365016511"
13.2,"-65.0775797147706,-24.538608960065"
13.2,"-65.2650653220302,-24.2140491917943"
13.2,"-65.075279910083,-24.5312162229636"
13.2,"-65.2217623618607,-24.4416572096858"
13.2,"-65.0751746254362,-24.5353099149125"
13.2,"-65.2202426437615,-24.4453322057101"
13.2,"-65.0745125957027,-24.5316242490055"
13.2,"-64.8664816834704,-24.2327307969495"
13.2,"-65.0743704268273,-24.5314650907191"
13.2,"-64.8665971262722,-24.2326377256726"
13.2,"-65.0452329244786,-24.4072983675983"
13.2,"-64.7951826930754,-23.9423603571455"
13.2,"-65.0429980236986,-24.4085790884425"
13.2,"-64.7952246769314,-23.9423645792376"
13.2,"-65.0415635657228,-24.4094813851812"
13.2,"-64.7952623794188,-23.9423822667173"
13.2,"-65.0372789780935,-24.4130683599042"
13.2,"-64.7912685418641,-23.8138944902322"
13.2,"-65.0327563786334,-24.4693952169601"
13.2,"-64.7937595442838,-23.8298174385501"
13.2,"-65.0266024987829,-24.4213246298399"
13.2,"-64.7933259447789,-23.8334634321392"
13.2,"-65.0166993825368,-24.5632143206632"
13.2,"-64.7640281908514,-23.7840491427883"
13.2,"-65.3177952117417,-24.1768901469012"
13.2,"-65.0114826722772,-24.4384543531246"
13.2,"-65.3174389807277,-24.1768885527472"
13.2,"-65.0113063694202,-24.4385524538178"
13.2,"-65.0106308803853,-24.438927002467"
13.2,"-64.7933492344149,-23.8132334704415"
13.2,"-65.00274740862,-24.5699531343359"
13.2,"-64.7933737168584,-23.8132729162132"
13.2,"-64.7906602558182,-23.8145708736325"
13.2,"-64.7909813197872,-23.8150789327033"
13.2,"-65.0012321719648,-24.3763906038782"
13.2,"-64.7768124244855,-23.9101045877717"
13.2,"-65.0018211098089,-24.3756995077727"
13.2,"-64.7751882334363,-23.911567634812"
13.2,"-65.001272609819,-24.3771401477542"
13.2,"-64.7821919231815,-23.9125801768877"
13.2,"-65.0015158930533,-24.3769116066325"
13.2,"-64.7808720736673,-23.9164605229142"
13.2,"-65.0010975044645,-24.3768455678819"
13.2,"-64.7791528675574,-23.9224907122397"
13.2,"-64.9969319658831,-24.3638638239126"
13.2,"-64.7796443593474,-23.9203506121295"
13.2,"-64.9861591919086,-24.3917419005375"
13.2,"-64.7787045852239,-23.9242113799958"
13.2,"-64.985827553317,-24.3925339892638"
13.2,"-64.7959215996598,-23.9264867387827"
13.2,"-64.9858256048067,-24.3927777053364"
13.2,"-64.7959547727474,-23.9239683496052"
13.2,"-64.9858263396255,-24.3924391965862"
13.2,"-64.796459868174,-23.919589493118"
13.2,"-64.9856568027236,-24.3929299980038"
13.2,"-64.7850554670887,-23.9295743388549"
13.2,"-64.9790207600009,-24.5594849794631"
13.2,"-64.7849966298792,-23.9295648462243"
13.2,"-64.7781137199732,-23.9283502481969"
13.2,"-64.9691331504982,-24.5446016964544"
13.2,"-64.7781219583954,-23.9283096905325"
13.2,"-64.968150152609,-24.5488998367678"
13.2,"-64.7778876513397,-23.9106276997534"
13.2,"-64.9478015850886,-24.5409721641328"
13.2,"-64.7768368864653,-23.9101138097767"
13.2,"-65.1224126048757,-24.3772927567164"
13.2,"-64.9466655726615,-24.5461310006856"
13.2,"-65.188282236407,-24.2599639981842"
13.2,"-64.8878438032868,-24.2560185849329"
13.2,"-64.8860964402721,-24.2549631526509"
13.2,"-64.8603260037672,-24.2248311459734"
13.2,"-65.2147964569079,-24.2585763838328"
13.2,"-64.868421772326,-24.2441670476541"
13.2,"-65.2882057857198,-24.2075126820002"
13.2,"-64.8680051931165,-24.2431799829715"
13.2,"-65.2882154909012,-24.2075298781221"
13.2,"-64.8565620858377,-24.2126205968617"
7.6,"-65.2880682010053,-24.2073783295811"
7.6,"-64.8382026398284,-23.9116196069059"
13.2,"-65.4112832377406,-24.0492219842703"
13.2,"-64.8244544136058,-23.8838895205581"
13.2,"-65.4112537417191,-24.049221631592"
13.2,"-64.8241280185116,-23.8812606583592"
13.2,"-65.4110361553991,-24.0492200182441"
13.2,"-64.8061680970974,-24.3194472996062"
13.2,"-65.4110055121038,-24.0492203057248"
13.2,"-64.8051416249849,-24.3150340507049"
13.2,"-65.4113393270352,-24.0492222728365"
13.2,"-64.8028535729275,-24.304201683619"
13.2,"-65.411308208415,-24.0492221281418"
13.2,"-65.4111432448673,-24.0492213501704"
13.2,"-64.8049595075263,-23.9461164291147"
13.2,"-65.3971435297781,-23.5717853332251"
13.2,"-64.8027195282571,-24.0553894558436"
13.2,"-65.3314196786685,-24.1976442685521"
13.2,"-64.7975357620716,-23.8033448998763"
13.2,"-64.8016805895139,-23.9390946835544"
13.2,"-64.7852768381631,-23.8208563289266"
13.2,"-64.8011572418018,-23.9389887580621"
13.2,"-64.712195448027,-24.273991974698"
13.2,"-64.8007342726148,-23.9336123501615"
13.2,"-64.7120482085139,-24.2739455930913"
13.2,"-64.7120988632534,-24.2740001832534"
13.2,"-64.8002925867683,-23.9485141743101"
13.2,"-64.7119502005899,-24.2738996285106"
13.2,"-64.8067958988164,-24.3221513065265"
13.2,"-64.7121615774551,-24.2739330133473"
13.2,"-64.8026675081173,-24.0552762367133"
13.2,"-64.7119303259704,-24.2739175137658"
13.2,"-64.8009971278869,-24.0486162517253"
13.2,"-64.7121809515633,-24.2739647713927"
13.2,"-64.8006689952506,-23.9389378534184"
13.2,"-64.7120793526549,-24.2739819642883"
13.2,"-64.7995330919465,-23.9334369187356"
13.2,"-64.7121865700183,-24.2740911946282"
13.2,"-65.3090958695697,-24.184525355296"
13.2,"-64.800046019056,-23.820247497446"
13.2,"-64.8688669953132,-24.2332823694954"
13.2,"-64.8026295050069,-24.0551360516935"
13.2,"-65.2961292462442,-24.2092772393668"
13.2,"-65.302920799484,-24.1908592137811"
13.2,"-64.799384637689,-23.8187727334996"
13.2,"-65.2980563321354,-24.2093917813754"
13.2,"-64.7986269869461,-23.8171516884099"
13.2,"-65.2961375076253,-24.2093027084359"
13.2,"-64.7977471142873,-23.815027449602"
13.2,"-65.298144311224,-24.2095301026192"
13.2,"-64.7971278371999,-23.813559310687"
13.2,"-65.2986870077258,-24.2096698119669"
13.2,"-64.7962958310501,-23.8116528072696"
13.2,"-65.2962428637661,-24.2092609397765"
13.2,"-65.2961378106578,-24.2093077519588"
13.2,"-64.8016016938248,-23.9394930074846"
13.2,"-65.2964096143072,-24.2101671970516"
13.2,"-64.8005397605422,-23.9468383238496"
13.2,"-65.2968963637028,-24.2099649537114"
13.2,"-65.2967713649425,-24.2099537688384"
13.2,"-65.2972792349518,-24.2101185646328"
13.2,"-65.2973099933608,-24.2101679667577"
13.2,"-65.2971744059119,-24.2099450003081"
13.2,"-65.2971662594924,-24.2099297532947"
13.2,"-64.7958832781091,-23.9405534382957"
13.2,"-65.2971498088049,-24.2098989660321"
13.2,"-64.7962243391246,-23.8114513367667"
13.2,"-65.2971579201517,-24.2099141460775"
13.2,"-64.7959191711655,-23.8071184272308"
13.2,"-65.2967300264291,-24.2098783099783"
13.2,"-64.7949317496166,-23.8083893795099"
13.2,"-65.2963675312044,-24.2100525866628"
13.2,"-64.7939804821804,-23.8137162138532"
13.2,"-65.2984447772599,-24.209655275587"
13.2,"-64.7940499552758,-23.8180769533228"
13.2,"-65.2980645717745,-24.209408353177"
13.2,"-64.7935628918987,-23.8054912931123"
13.2,"-65.2974288410533,-24.2098371883204"
13.2,"-64.7932667203502,-23.8168508551137"
13.2,"-65.2981229303021,-24.2094843108162"
13.2,"-64.7931925211802,-23.7957068601163"
13.2,"-65.2985640684979,-24.2097324959166"
13.2,"-64.7931760768385,-23.7956548429246"
13.2,"-65.2981624652228,-24.2094763831402"
13.2,"-64.8028266631844,-23.9327468344495"
13.2,"-65.2980402016635,-24.2093675590176"
13.2,"-64.7972765049668,-23.8104233302656"
13.2,"-65.2985048103177,-24.209690986859"
13.2,"-65.297295377681,-24.210144490703"
13.2,"-64.7962713879382,-23.8079328828923"
13.2,"-65.2985399372781,-24.209671577772"
13.2,"-65.298608682124,-24.2096390640823"
13.2,"-64.7907371471121,-23.8181571775768"
13.2,"-65.2129107686492,-24.2512020562188"
13.2,"-64.7904279865225,-23.8030330152791"
13.2,"-65.2128410190345,-24.2512341906693"
